date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:51	147/147	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Oct%202023%2015:25:50%20GMT	https://lavachebobette.ch/archives	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/archives	(from https://lavachebobette.ch/)
17:25:52	5366/5366	---M-Z	200	added ('OK')	text/html	etag:W/%2214f6-GYQ1OqZrVIMCL+euYH0fb1zCmuo-gzip%22	https://lavachebobette.ch/article/13	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/13.html	(from https://lavachebobette.ch/articles)
17:25:53	5454/5454	---M-Z	200	added ('OK')	text/html	etag:W/%22154e-Hf8taC8RD/N9uth8wpdbgNRlna8-gzip%22	https://lavachebobette.ch/article/12	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/12.html	(from https://lavachebobette.ch/articles)
17:25:54	5578/5578	---M-Z	200	added ('OK')	text/html	etag:W/%2215ca-ZObeQa66/Z9r5br1vxeYJHLcGBg-gzip%22	https://lavachebobette.ch/article/11	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/11.html	(from https://lavachebobette.ch/articles)
17:25:55	5587/5587	---M-Z	200	added ('OK')	text/html	etag:W/%2215d3-4v/9PYZnnKK7t3VEhE6047CktCQ-gzip%22	https://lavachebobette.ch/article/10	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/10.html	(from https://lavachebobette.ch/articles)
17:25:56	5964/5964	---M-Z	200	added ('OK')	text/html	etag:W/%22174c-ibPntWGChVS3mTsNQC6KIAVLxUU-gzip%22	https://lavachebobette.ch/article/9	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/9.html	(from https://lavachebobette.ch/articles)
17:25:57	5244/5244	---M-Z	200	added ('OK')	text/html	etag:W/%22147c-DcV1FD95ZunTtH/Z3wCUZiLaBc4-gzip%22	https://lavachebobette.ch/article/8	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/8.html	(from https://lavachebobette.ch/articles)
17:25:58	4188/4188	---M-Z	200	added ('OK')	text/html	etag:W/%22105c-iRj/q15Ut1yU+6gcTAqOnBZgH3Q-gzip%22	https://lavachebobette.ch/article/6	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/6.html	(from https://lavachebobette.ch/articles)
17:25:59	3401/3401	---M-Z	200	added ('OK')	text/html	etag:W/%22d49-IsGV7t0bVEh/tTlq+GCMJru495g-gzip%22	https://lavachebobette.ch/article/5	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/5.html	(from https://lavachebobette.ch/articles)
17:26:00	4543/4543	---M-Z	200	added ('OK')	text/html	etag:W/%2211bf-XmvWnEnftHddTcYdC5xuijSxIh8-gzip%22	https://lavachebobette.ch/article/4	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/4.html	(from https://lavachebobette.ch/articles)
